tic_id,obs_id,ra,dec,file_type,calib_level,t_min,t_max,file_path,proposal_pi,obs_title
96246348,tess2018206190142-s0001-s0065-0000000096246348,103.561670499712,-34.2228617831462,DVT,3,59201.22866797454,59987.72807974537,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0065-0000000096246348-00728_dvt.fits,"Ricker, George",
155044736,tess2021014023720-s0034-0000000155044736-0204-s,122.895956710959,-27.9718190893969,LC,3,59228.2697784838,59253.56861483796,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000155044736-0204-s_lc.fits,"Ricker, George",
155044736,tess2023018032328-s0061-0000000155044736-0250-s,122.895956710959,-27.9718190893969,LC,3,59962.30145774306,59987.718236597226,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2023018032328-s0061-0000000155044736-0250-s_lc.fits,"Ricker, George",
155044736,tess2018206190142-s0001-s0065-0000000155044736,122.895956710959,-27.9718190893969,DVT,3,59228.24755568287,59987.72656981481,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0065-0000000155044736-00728_dvt.fits,"Ricker, George",
175310067,tess2021014023720-s0034-0000000175310067-0204-s,116.11082020711,-36.0983353226298,LC,3,59228.266371261576,59253.567825729166,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000175310067-0204-s_lc.fits,"Ricker, George",
182943944,tess2021039152502-s0035-0000000182943944-0205-s,124.726472906995,-37.7832910038609,LC,3,59254.49155715277,59279.48156594907,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021039152502-s0035-0000000182943944-0205-s_lc.fits,"Ricker, George",
182943944,tess2018206190142-s0001-s0036-0000000182943944,124.726472906995,-37.7832910038609,DVT,3,59228.24673550926,59279.48156594907,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0036-0000000182943944-00464_dvt.fits,"Ricker, George",
182943944,tess2021014023720-s0034-0000000182943944-0204-s,124.726472906995,-37.7832910038609,LC,3,59228.26618050926,59253.56794741898,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000182943944-0204-s_lc.fits,"Ricker, George",
291555748,tess2020351194500-s0033-0000000291555748-0203-s,111.716073132162,-50.2666171927204,LC,3,59201.23264231,59227.07340834,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2020351194500-s0033-0000000291555748-0203-s_lc.fits,"Ricker, George",
291555748,tess2021039152502-s0035-0000000291555748-0205-s,111.716073132162,-50.2666171927204,LC,3,59254.49019429398,59279.48020619213,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021039152502-s0035-0000000291555748-0205-s_lc.fits,"Ricker, George",
291555748,tess2018206190142-s0001-s0036-0000000291555748,111.716073132162,-50.2666171927204,DVT,3,59201.22708659722,59279.48020619213,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0036-0000000291555748-00464_dvt.fits,"Ricker, George",
291555748,tess2021014023720-s0034-0000000291555748-0204-s,111.716073132162,-50.2666171927204,LC,3,59228.26647671296,59253.56658811343,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021014023720-s0034-0000000291555748-0204-s_lc.fits,"Ricker, George",
140706664,tess2021039152502-s0035-0000000140706664-0205-s,128.382011085239,-43.8284401110045,LC,3,59254.49115028935,59279.481396759256,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2021039152502-s0035-0000000140706664-0205-s_lc.fits,"Ricker, George",
