tic_id,obs_id,ra,dec,calib_level,t_min,t_max,dataURL,obs_title,proposal_pi
140830390,tess2020351194500-s0033-0000000140830390-0203-s,75.6272819474799,-72.9141390596773,3,59201.23070231,59227.07083159,mast:TESS/product/tess2020351194500-s0033-0000000140830390-0203-s_lc.fits,,"Ricker, George"
140830390,tess2021118034608-s0038-0000000140830390-0209-s,75.6272819474799,-72.9141390596773,3,59333.35362055556,59360.05117024305,mast:TESS/product/tess2021118034608-s0038-0000000140830390-0209-s_lc.fits,,"Ricker, George"
140830390,tess2019140104343-s0012-0000000140830390-0144-s,75.6272819474799,-72.9141390596773,3,58624.46810200231,58652.39198778935,mast:TESS/product/tess2019140104343-s0012-0000000140830390-0144-s_lc.fits,,"Ricker, George"
140830390,tess2023153011303-s0066-0000000140830390-0260-s,75.6272819474799,-72.9141390596773,3,60097.17313408565,60125.927520405094,mast:TESS/product/tess2023153011303-s0066-0000000140830390-0260-s_lc.fits,,"Ricker, George"
426077080,tess2021146024351-s0039-0000000426077080-0210-s,238.001109673285,-76.4934505480874,3,59361.27349150463,59389.22066828704,mast:TESS/product/tess2021146024351-s0039-0000000426077080-0210-s_lc.fits,,"Ricker, George"
343648136,tess2021146024351-s0039-0000000343648136-0210-s,272.311811320348,-76.300761126562,3,59361.27336579861,59389.220914224534,mast:TESS/product/tess2021146024351-s0039-0000000343648136-0210-s_lc.fits,,"Ricker, George"
129319156,tess2021118034608-s0038-0000000129319156-0209-s,228.843132778614,-52.8859635646864,3,59333.358002037035,59360.05561015046,mast:TESS/product/tess2021118034608-s0038-0000000129319156-0209-s_lc.fits,,"Ricker, George"
387079085,tess2021118034608-s0038-0000000387079085-0209-s,217.023374378845,-64.6341947345104,3,59333.35725001158,59360.05474334491,mast:TESS/product/tess2021118034608-s0038-0000000387079085-0209-s_lc.fits,,"Ricker, George"
382331352,tess2021118034608-s0038-0000000382331352-0209-s,215.805294071202,-63.0459639181508,3,59333.357373125,59360.0548178125,mast:TESS/product/tess2021118034608-s0038-0000000382331352-0209-s_lc.fits,,"Ricker, George"
375225453,tess2021065132309-s0036-0000000375225453-0207-s,133.827009077003,-73.173389748593,3,59280.40302708333,59305.48961143519,mast:TESS/product/tess2021065132309-s0036-0000000375225453-0207-s_lc.fits,,"Ricker, George"
375225453,tess2021091135823-s0037-0000000375225453-0208-s,133.827009077003,-73.173389748593,3,59306.75906895833,59332.08011321759,mast:TESS/product/tess2021091135823-s0037-0000000375225453-0208-s_lc.fits,,"Ricker, George"
375225453,tess2021118034608-s0038-0000000375225453-0209-s,133.827009077003,-73.173389748593,3,59333.35511625,59360.05222928241,mast:TESS/product/tess2021118034608-s0038-0000000375225453-0209-s_lc.fits,,"Ricker, George"
375225453,tess2018206190142-s0001-s0039-0000000375225453,133.827009077003,-73.173389748593,3,59280.39747138889,59389.21843636574,mast:TESS/product/tess2018206190142-s0001-s0039-0000000375225453-00493_dvt.fits,,"Ricker, George"
375225453,tess2021146024351-s0039-0000000375225453-0210-s,133.827009077003,-73.173389748593,3,59361.271661597224,59389.21843636574,mast:TESS/product/tess2021146024351-s0039-0000000375225453-0210-s_lc.fits,,"Ricker, George"
271581073,tess2020186164531-s0027-0000000271581073-0189-s,319.551142428111,-77.529089392083,3,59035.7804113,59060.14410679,mast:TESS/product/tess2020186164531-s0027-0000000271581073-0189-s_lc.fits,,"Ricker, George"
50309953,tess2018206045859-s0001-0000000050309953-0120-s,30.1973221665765,-77.6102326104154,3,58324.79484311343,58352.67794540509,mast:TESS/product/tess2018206045859-s0001-0000000050309953-0120-s_lc.fits,,"Ricker, George"
50309953,tess2019169103026-s0013-0000000050309953-0146-s,30.1973221665765,-77.6102326104154,3,58653.42072883102,58681.858563738424,mast:TESS/product/tess2019169103026-s0013-0000000050309953-0146-s_lc.fits,,"Ricker, George"
50309953,tess2018206190142-s0001-s0013-0000000050309953,30.1973221665765,-77.6102326104154,3,58324.79486578704,58681.85858677083,mast:TESS/product/tess2018206190142-s0001-s0013-0000000050309953-00226_dvt.fits,,"Ricker, George"
446549905,tess2020186164531-s0027-0000000446549905-0189-s,286.791796998098,-58.6972126560873,3,59035.78198374,59060.14536332,mast:TESS/product/tess2020186164531-s0027-0000000446549905-0189-s_lc.fits,,"Ricker, George"
