2024-11-30 23:40:55,055 - INFO - Starting extraction process using index: data/positive_tics.csv
2024-11-30 23:40:55,062 - INFO - Loaded index CSV: data/positive_tics.csv
2024-11-30 23:40:55,090 - INFO - Saved light curve data to: /run/media/maverick/X10 Pro/exoplanetDatasetReindexedFinal/positive_extract/LC_EXT/176860064_1_LC.csv
2024-11-30 23:40:55,091 - INFO - Saved aperture mask to: /run/media/maverick/X10 Pro/exoplanetDatasetReindexedFinal/positive_extract/AP_EXT/176860064_1_AP.npy
2024-11-30 23:40:55,117 - DEBUG - Loaded backend qtagg version 5.15.10.
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansArabic-ExtraLight.ttf', name='Noto Sans Arabic', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 10.24
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/VeraSeBd.ttf', name='Bitstream Vera Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMalayalam-CondensedThin.ttf', name='Noto Sans Malayalam Condensed', style='normal', variant='normal', weight=100, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansArabic-SemiCondensedBold.ttf', name='Noto Sans Arabic', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifArmenian-SemiCondensedExtraLight.ttf', name='Noto Serif Armenian', style='normal', variant='normal', weight=200, stretch='condensed', size='scalable')) = 10.44
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifMalayalam-Light.ttf', name='Noto Serif Malayalam', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansGurmukhi-SemiCondensed.ttf', name='Noto Sans Gurmukhi SemiCondensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMalayalam-ExtraCondensedBlack.ttf', name='Noto Sans Malayalam ExtraCondensed', style='normal', variant='normal', weight=900, stretch='condensed', size='scalable')) = 10.725
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansKannada-CondensedExtraBold.ttf', name='Noto Sans Kannada', style='normal', variant='normal', weight=800, stretch='condensed', size='scalable')) = 10.629999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerifMyanmar-SemiCondensed.ttf', name='Noto Serif Myanmar SemiCondensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansKannadaUI-ExtraCondensedExtraBold.ttf', name='Noto Sans Kannada UI', style='normal', variant='normal', weight=800, stretch='condensed', size='scalable')) = 10.629999999999999
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansDevanagariUI-Bold.ttf', name='Noto Sans Devanagari UI', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansEthiopic-ExtraLight.ttf', name='Noto Sans Ethiopic', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 10.24
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-11-30 23:40:55,167 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansTelugu-CondensedBold.ttf', name='Noto Sans Telugu', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2024-11-30 23:40:55,168 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansMyanmar-SemiCondensed.ttf', name='Noto Sans Myanmar SemiCondensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2024-11-30 23:40:55,168 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansTeluguUI-SemiCondensed.ttf', name='Noto Sans Telugu UI', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2024-11-30 23:40:55,168 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansTamilUI-ExtraCondensedLight.ttf', name='Noto Sans Tamil UI ExtraCondensed', style='normal', variant='normal', weight=300, stretch='condensed', size='scalable')) = 10.344999999999999
2024-11-30 23:40:55,168 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansGujaratiUI-Black.ttf', name='Noto Sans Gujarati UI', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2024-11-30 23:40:55,168 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansOriya-Regular.ttf', name='Noto Sans Oriya', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:40:55,168 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSansOlChiki-Regular.ttf', name='Noto Sans Ol Chiki', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
